Location Display Text,LATITUDE,LONGITUDE,Borough,Neighborhood,Scene Type,Media,IMDB LINK,Client or book location indicator,Notes,Book Image,Book Page,Display?,IMAGE OF LOCATION
"W. 47th St., near Pier 87<br>Manhattan",40.7647463890479,-73.9979088306427,Manhattan,Midtown,Historic Recreations,Film,http://www.imdb.com/title/tt0117665/,"West 47th Street, near Pier 87",We have another photo,Y,151,,Y
Lower East Side<br>Manhattan,40.7185400000000,-73.9891800000000,Manhattan,Lower East Side,N/A,Film,http://www.imdb.com/title/tt0084698/,Lower East Side,,Y,189,,Y
Prospect Park and 16th St.<br>Windsor Terrace<br>Brooklyn,40.6572584437698,-73.9746111631393,Brooklyn,Brooklyn,N/A,Film,http://www.imdb.com/title/tt0114478/,Prospect Park West and 16th Street in Windsor Terrace,,Y,176,,Y
101 Rugby Rd.<br>Brooklyn,40.6473340000000,-73.9663730000000,Brooklyn,Brooklyn,N/A,Film,http://www.imdb.com/title/tt0084707/,"101 Rugby Road, Brooklyn, NY",poor quality,Y,179,,Y
Midtown<br>Manhattan,40.7525887995655,-73.9797556400299,Manhattan,Midtown,N/A,Film,http://www.imdb.com/title/tt0145487/,,,Y,194,N,Y
Midtown<br>Manhattan,40.7566849203205,-73.9785540103912,Manhattan,Midtown,N/A,Film,http://www.imdb.com/title/tt0145487/,,,Y,194,N,Y
Sunnyside<br>Queens,40.7482323307470,-73.9139986038208,Queens,Queens,N/A,Film,http://www.imdb.com/title/tt0145487/,Sunnyside,,Y,194,,Y
Pier 17<br>Manhattan,40.7046844789603,-74.0020716190338,Manhattan,Lower Manhattan,N/A,Film,http://www.imdb.com/title/tt0088161/,Pier 17,poor quality,Y,131,,Y
Hell's Kitchen<br>Manhattan,40.7603744638357,-73.9912569522857,Manhattan,Upper West Side,N/A,Film,http://imdb.com/title/tt0100685/,Hell's Kitchen,,Y,141,,Y
Edgecomb Ave.<br>Harlem<br>Manhattan,40.8294302441349,-73.9396405220031,Manhattan,Harlem,N/A,Film,http://www.imdb.com/title/tt0107079/,"Edgecomb Avenue, Harlem",,Y,100-101,,N
"CBGB's <br>315 Bowery (at Bleecker)<br>East Village, Manhattan",40.7250340000000,-73.9920670000000,Manhattan,SoHo,N/A,Film,http://www.imdb.com/title/tt0162677/,CBGB's 315 Bowery,,Y,188,,Y
Tiffany & Co.<br>727 Fifth Ave.<br>Manhattan,40.7627961233669,-73.9738762378692,Manhattan,Midtown,N/A,Film,http://www.imdb.com/title/tt0256415/,Tiffany & Co. - 727 Fifth Avenue at 57th Street,,Y,212,,Y
Remsen St. and Montague Terrace<br>Brooklyn Heights<br>Brooklyn,40.6950000000000,-73.9977000000000,Brooklyn,Brooklyn,N/A,Film,http://www.imdb.com/title/tt0063661/,Brooklyn Height Promenade: Remsen St. and Montague Terrace,,N,,,N
Manhattan ,40.7577983063470,-73.9755660295486,Manhattan,Midtown,N/A,Film,http://imdb.com/title/tt0051036/,Manhattan ,,Y,43,N,Y
E. 12th St. and Third Ave.<br>East Village<br>Manhattan,40.7320000000000,-73.9882000000000,Manhattan,East Village,N/A,Film,http://www.imdb.com/title/tt0075314/,12th Street off Third Avenue,poor quality,Y,98-99,,Y
Bellmore Cafeteria<br>Park Ave. South and E. 28th St.<br>Manhattan,40.7433500000000,-73.9840500000000,Manhattan,Midtown,N/A,Film,http://www.imdb.com/title/tt0075314/,"Bellmore Cafeteria, Park Avenue South at 28th St",poor quality,Y,120,,Y
Columbus Ave. and E. 86th St.<br>Upper West Side<br>Manhattan,40.7865000000000,-73.9722000000000,Manhattan,Upper West Side,N/A,Film,http://www.imdb.com/title/tt0075314/,Near Columbus Ave and 86th Street,Not sure if this the correct photo,Y,112-113,,Y
E. 91st St. and Fifth Ave.<br>Upper East Side<br>Manhattan,40.7847000000000,-73.9581000000000,Manhattan,Upper East Side,N/A,Film,http://www.imdb.com/title/tt0066767/,91st street and Fifth Avenue,Has FPO in lower left,Y,130,,Y
Marine Midlane Bank<br>140 Broadway<br>Lower Manhattan,40.7089720000000,-74.0105180000000,Manhattan,Lower Manhattan,N/A,Film,http://www.imdb.com/title/tt0064036/,Marine Midlane Bank building 140 Broadway bet Liberty st and Ceder st,,Y,70,,Y
