Film,Year,IMDB LINK,Image File Name,Agency Credit,Artist Credit,Director/Filmmaker Name,Director/Filmmaker IMDB Link
Six Degrees of Separation,1993,http://www.imdb.com/title/tt0108149/,SixDegreesofSep_pf,Courtesy of Photofest,Directed by,Fred Schepisi,http://imdb.com/name/nm0770961/
Six Degrees of Separation,1993,http://www.imdb.com/title/tt0108149/,SixDegreesofSep_pf,Courtesy of Photofest,Directed by,Fred Schepisi,http://imdb.com/name/nm0770961/
Sleepers,1996,http://www.imdb.com/title/tt0117665/,Sleepers3_pf,Courtesy of Photofest,Directed by,Barry Levinson,http://imdb.com/name/nm0001469/
Sleepers,1996,http://www.imdb.com/title/tt0117665/,Sleepers_pf,Courtesy of Photofest,Directed by,Barry Levinson,http://imdb.com/name/nm0001469/
Smithereens,1982,http://www.imdb.com/title/tt0084698/,Smithereens_ec,"Courtesy of Everett Collection, Inc.",Directed by,Susan Seidelman,http://imdb.com/name/nm0782384/
Smoke,1995,http://www.imdb.com/title/tt0114478/,Smoke_ec,"Courtesy of Everett Collection, Inc.",Directed by,Wayne Wang,http://imdb.com/name/nm0911061/
Sophie's Choice,1982,http://www.imdb.com/title/tt0084707/,SophiesChoice_pf,Courtesy of Photofest,Directed by,Alan J. Pakula,http://imdb.com/name/nm0001587/
Spider-Man,2002,http://www.imdb.com/title/tt0145487/,Spiderman2_pf,Courtesy of Photofest,Directed by,Sam Raimi,http://www.imdb.com/name/nm0000600/
Spider-Man,2002,http://www.imdb.com/title/tt0145487/,Spiderman3_pf,Courtesy of Photofest,Directed by,Sam Raimi,http://www.imdb.com/name/nm0000600/
Spider-Man,2002,http://www.imdb.com/title/tt0145487/,Spiderman4_pf,Courtesy of Photofest,Directed by,Sam Raimi,http://www.imdb.com/name/nm0000600/
Splash,1984,http://www.imdb.com/title/tt0088161/,Splash_pf,Courtesy of Photofest,Directed by,Ron Howard,http://imdb.com/name/nm0000165/
State of Grace,1990,http://imdb.com/title/tt0100685/,StateofGrace_ec,"Courtesy of Everett Collection, Inc.",Directed by,Phil Joanou,http://imdb.com/name/nm0423333/
Sugar Hill,1994,http://www.imdb.com/title/tt0107079/,,,Directed by,Leon Ichaso,http://imdb.com/name/nm0406687/
Summer of Sam,1999,http://www.imdb.com/title/tt0162677/,SummerofSam_pf,Courtesy of Photofest,Directed by,Spike Lee,http://www.imdb.com/name/nm0000490/
Sweet Home Alabama,2002,http://www.imdb.com/title/tt0256415/,SweetHomeAlabama_ec,"Courtesy of Everett Collection, Inc.",Directed by,Andy Tennant,http://imdb.com/name/nm0855035/
Sweet November,1968,http://www.imdb.com/title/tt0063661/,,,Directed by,Robert Ellis Miller,http://imdb.com/name/nm0589228/
Sweet Smell of Success,1957,http://imdb.com/title/tt0051036/,SweetSmellofSuccess_pf,Courtesy of Photofest,Directed by,Alexandre Mackenrick,http://imdb.com/name/nm0533241/
Taxi Driver,1976,http://www.imdb.com/title/tt0075314/,TaxiDriver_pf,Courtesy of Photofest,Directed by,Martin Scorsese,http://imdb.com/name/nm0000217/
Taxi Driver,1976,http://www.imdb.com/title/tt0075314/,TaxiDriver2_pf,Courtesy of Photofest,Directed by,Martin Scorsese,http://imdb.com/name/nm0000217/
Taxi Driver,1976,http://www.imdb.com/title/tt0075314/,TaxiDriver_pf,Courtesy of Photofest,Directed by,Martin Scorsese,http://imdb.com/name/nm0000217/
